fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Feb,16,KERALA,1613,KOLLAM,5888457,341.409372706452,61,277,3306.664526487,19424,0,21501,8212439,1662204,62529,125599,2448,1091.96544,32436.666440287,133201,146106,210469,331500,25326,405055,590209,40925,28038.0364738,7166547,40,67.34,22.8,100.05,NA
2024-2025,Feb,16,KERALA,1604,KOZHIKODE,6530616,343.66843098971,64,195,7673.269457176,17021,0,19978,8570135,1026273,38953,144932,4134,1017.08454,38143.202485376,133753,146808,200896,317890,15879,359312,531930,36999,29452.8484882,7850339,37,74.59,13.89,100.05,NA
2024-2025,Feb,16,KERALA,1605,MALAPPURAM,3509374,345.096965020541,61,220,4064.528630216,21273,0,19057,4958653,1685632,61493,237147,5673,1199.90161,22376.591249116,80602,91342,150413,240755,18168,417872,602186,40330,17112.1610089,4254980,66,58.38,15.55,100.21,NA
2024-2025,Feb,16,KERALA,1612,PATHANAMTHITTA,2089432,341.494343702384,55,103,1617.65825664,6666,0,8638,2419733,677062,35329,49152,2189,501.98095,10382.89053434,43915,48832,67943,117892,2999,163667,255003,15304,8263.2513277,2162615,42,66.64,16.98,100.12,NA
2024-2025,Feb,16,KERALA,1602,KANNUR,3690670,343.83093213221,56,127,4609.219825221,12753,0,15510,4758767,201560,8859,416177,13858,954.53193,21925.864689321,83806,90337,133164,196254,10461,266705,367883,28263,16362.1129341,4465581,46,64.32,22.23,100.33,NA
2024-2025,Dec,16,KERALA,1607,THRISSUR,2978188,340.556038942674,39,208,3101.441737711,15495,0,14071,2941760,927281,50859,56180,2494,919.15647,14038.939538911,74898,79653,156822,205126,2356,350712,428261,29566,10018.3413312,2650858,50,63.21,10.59,99.97,NA
2024-2025,Dec,16,KERALA,1611,ALAPPUZHA,6182922,343.144646200626,42,355,3971.235584548,16928,0,19120,5584210,868420,44997,35675,1148,655.81444,23788.967672148,131756,142805,179640,283616,963,264612,394840,36048,19161.9176476,5158396,34,74.62,8.22,99.99,NA
2024-2025,Dec,16,KERALA,1612,PATHANAMTHITTA,1982827,339.505372317051,41,99,1281.986357529,5480,0,8107,1729440,483268,35171,36952,2170,486.46857,7639.996638529,41999,46355,67562,117122,464,163060,254005,13587,5871.541711,1540398,43,62.44,21.13,99.97,NA
2024-2025,Dec,16,KERALA,1609,IDUKKI,3417051,340.028802834366,40,88,2292.671788781,11918,0,11193,3397727,356222,28849,562017,24865,712.16982,14558.092050461,83261,106558,134416,243481,2471,213139,365348,23111,11553.25044168,2520034,30,59.52,19.92,100.06,NA
2024-2025,Dec,16,KERALA,1613,KOLLAM,5588027,341.465319331102,46,269,2691.057339494,15414,0,19787,5890109,1197647,62004,98107,2438,919.97892,23723.715765294,126361,137670,208273,327845,3311,402817,586954,35201,20112.6795058,5104913,41,62.35,27.13,100,NA
2024-2025,Dec,16,KERALA,1614,THIRUVANANTHAPURAM,7498642,340.884921648357,51,173,5013.794650523,20603,0,22057,8103021,1402249,59463,271231,8061,1018.68798,33654.4594175229,156883,170065,231754,350124,4099,394957,562480,42660,27621.9767869999,7208116,52,66.56,22.82,99.99,NA
2024-2025,Feb,16,KERALA,1602,KANNUR,3690670,344.429251796171,58,127,4681.633985575,13628,0,15033,4894161,207872,8877,426242,13868,954.80943,22493.365529575,84282,90922,133389,196608,12531,266879,368141,28661,16856.922114,4593696,46,64.75,21.77,100.32,NA
2024-2025,Feb,16,KERALA,1604,KOZHIKODE,6530616,343.288716049346,65,196,7726.130235876,18415,0,19013,8838011,1056520,38967,150496,4136,1247.18355,39313.208272076,134453,147682,201077,318199,20297,359466,532189,37428,30339.8944862,8098456,37,74.72,13.54,100.05,NA
2024-2025,Feb,16,KERALA,1610,KOTTAYAM,2527062,337.831289207699,57,31,2613.1201161,13002,0,10578,2946934,425079,20439,103031,4644,637.60863,13206.3938704,51288,55573,90071,136552,7837,209816,293456,23580,9955.6651243,2740279,54,49.19,32.67,100.09,NA
2024-2025,Feb,16,KERALA,1605,MALAPPURAM,3509374,345.11349886078,62,221,4125.328762976,21969,0,18806,5033707,1707762,61554,241624,5678,1211.78638,22709.117493076,81101,92067,150744,241320,19733,418074,602522,40775,17372.0023501,4319190,66,58.42,15.37,100.21,NA
2024-2025,Feb,16,KERALA,1606,PALAKKAD,4893198,347.832228458193,43,203,4641.55054129,21516,0,34387,6355421,1922640,85887,833856,21304,1174.25289,27922.00592349,145620,161204,215850,309103,9044,411575,557067,55903,22106.2024922,5636656,63,40.88,34.04,100.25,NA
2024-2025,Feb,16,KERALA,1608,ERNAKULAM,3005221,340.138204974962,59,122,3444.387546221,20267,0,13368,3679425,747274,33112,76033,2872,938.55211,16898.069804621,61744,66872,111455,169968,10957,273139,383855,33635,12515.1301484,3296017,52,54.33,26.54,100.09,NA
2024-2025,Feb,16,KERALA,1611,ALAPPUZHA,6515337,344.008136605837,61,364,4731.59788214,20734,0,20755,8366641,1252368,45282,49777,1162,860.04442,34373.56810274,136751,149465,180899,285728,9818,265776,396632,41489,28781.9258006,7755180,34,77.81,7.66,100.07,NA
2024-2025,Feb,16,KERALA,1612,PATHANAMTHITTA,2089432,341.49777193109,56,103,1632.20332664,7052,0,8403,2481557,694268,35352,50129,2196,505.15004,10611.81523084,44053,49014,68000,118001,3504,163723,255100,15455,8474.4618642,2218220,42,66.77,16.71,100.12,NA
2024-2025,Feb,16,KERALA,1612,PATHANAMTHITTA,2089432,342.337872265137,57,103,1632.47732664,7597,0,7974,2540575,711597,35368,51057,2194,505.15004,10834.97776494,44147,49151,68035,118082,4085,163809,255245,15571,8697.3503983,2271173,42,66.79,16.37,100.12,NA
2024-2025,Feb,16,KERALA,1614,THIRUVANANTHAPURAM,7901793,341.223486596946,70,181,6403.361554661,27194,0,21943,11427283,1958029,59815,381859,8086,1256.95895,46652.8939805611,163061,177884,233519,353198,33431,397310,566132,49137,38992.5734759001,10218912,51,69.6,19.22,100.07,NA
2024-2025,Nov,16,KERALA,1606,PALAKKAD,4393891,355.310201997928,30,184,3436.381628992,11028,0,37435,4036081,1227128,84780,548720,21078,975.7312,18752.720382892,132629,145731,210826,301368,1289,408707,552255,48463,14340.6075539,3568175,64,36.56,35.7,99.98,NA
2024-2025,Nov,16,KERALA,1611,ALAPPUZHA,5850508,344.582274035242,37,354,3551.738874728,11885,0,22805,4788479,753444,44895,30871,1144,651.76428,20703.752984628,129192,139611,179234,282945,520,264453,394503,34690,16500.2498299,4419530,35,73.42,8.42,99.98,NA
2024-2025,Oct,16,KERALA,1608,ERNAKULAM,2391910,338.13791042846,29,94,983.427579106999,10141,0,15238,1538837,304370,32665,33113,2863,718.84129,6905.660145807,52949,56414,108981,166414,58,271614,382578,25379,5203.3912767,1370544,54,34.15,39.79,100,NA
2024-2025,Oct,16,KERALA,1603,WAYANAD,2098616,357.678289938641,43,75,587.905988103999,3353,0,9474,2224312,98248,6928,998379,47968,445.3633,8989.15041260399,50559,57872,85555,147194,833,156677,257863,12827,7955.88112449999,1927421,42,38.66,19.34,100,NA
2024-2025,Oct,16,KERALA,1606,PALAKKAD,3894586,360.205904651442,23,167,1384.615796371,8707,0,36178,2842581,884444,84181,371513,20923,963.82205,12587.582452871,122856,134340,208088,297248,136,407473,549931,44885,10239.1446065,2515984,64,33.59,35.8,99.99,NA
2024-2025,Oct,16,KERALA,1607,THRISSUR,2497836,337.779520332899,27,193,1283.373678177,8945,0,16418,1812924,573462,50384,39568,2474,874.86534,8281.925009377,64893,68585,153435,200439,205,349974,426486,25363,6123.6859912,1630631,50,53.42,14.55,99.99,NA
2024-2025,Oct,16,KERALA,1610,KOTTAYAM,2011334,332.807194723275,29,26,796.738022998,5827,0,12144,1345304,189924,20091,48894,4579,544.43213,5818.438655898,44987,47877,88636,133941,245,207879,290455,17971,4477.2685029,1246518,56,32.31,45.72,99.99,NA
2024-2025,Oct,16,KERALA,1614,THIRUVANANTHAPURAM,6289183,338.322519374215,33,162,2521.888020278,11800,0,25646,5038140,873340,59083,174489,8004,988.84635,20555.8965478781,149265,160806,230128,347226,281,392930,558886,37446,17045.1621776001,4463932,53,58.72,29.53,99.97,NA
2024-2025,Oct,16,KERALA,1603,WAYANAD,2098616,356.699830535505,43,75,587.905988103999,3328,0,9429,2182109,96035,6928,981061,47945,445.3633,8816.84839320399,50358,57622,85507,147114,733,156670,257844,12757,7783.57910509999,1890310,42,38.1,19.32,100,NA
2024-2025,Oct,16,KERALA,1604,KOZHIKODE,5197838,342.239519170015,25,174,2160.103391626,7526,0,20305,2927958,347913,38420,51268,4053,940.77829,13121.511062326,113204,121826,197045,311535,70,355320,526458,27831,10020.6293807,2672557,39,56.9,25.6,99.98,NA
2024-2025,Oct,16,KERALA,1606,PALAKKAD,3894586,364.524173642624,22,165,1384.615796371,8645,0,35990,2763181,858204,84138,364056,20914,960.93663,12418.015132871,121963,133344,207935,297023,104,407409,549829,44635,10072.4627065,2445222,64,33.14,35.9,99.98,NA
2024-2025,Oct,16,KERALA,1605,MALAPPURAM,2793176,348.935407931834,36,197,853.59914942,10020,0,20486,2466466,854795,60555,104354,5542,839.76456,10299.73690802,66687,73982,144346,230816,267,415580,599052,30506,8606.3731986,2108161,67,43.84,25.27,99.99,NA
2024-2025,Feb,16,KERALA,1601,KASARGOD,2873047,342.843610171012,55,96,3635.807553876,14282,0,12631,3858338,239036,10062,739006,24942,651.34834,17515.221185676,69220,78266,108867,167384,10832,172016,247685,26913,13228.0652918,3487253,49,53.5,32.54,100.17,NA
2024-2025,Feb,16,KERALA,1609,IDUKKI,3600764,341.013780127081,51,92,2943.081000329,19556,0,12046,4507340,504661,29200,760957,25001,968.75253,19282.484047509,88204,114000,135692,245818,7709,213580,366137,31602,15370.65051718,3353806,30,62.71,17.47,100.96,NA
2024-2025,Feb,16,KERALA,1604,KOZHIKODE,6530616,342.589589820146,63,195,7626.138080506,16919,0,19859,8458314,1013340,38943,143179,4131,1017.08454,37620.525858806,133425,146377,200790,317703,14406,359254,531831,36778,28977.3032383,7747171,37,74.51,14.03,100.05,NA
2024-2025,Feb,16,KERALA,1605,MALAPPURAM,3509374,345.265726139166,61,220,4064.528630216,21130,0,19028,4923340,1675161,61475,234499,5673,1158.52866,22221.662891516,80404,91069,150303,240537,17430,417741,601981,40158,16998.6056013,4225475,66,58.41,15.66,100.21,NA
2024-2025,Feb,16,KERALA,1612,PATHANAMTHITTA,2089432,340.592489545238,54,103,1603.098918888,6581,0,8609,2378342,665008,35320,48781,2190,501.98095,10205.534096588,43836,48720,67917,117843,2765,163654,254981,15190,8100.4542277,2125372,42,66.49,17.19,100.13,NA
2024-2025,Feb,16,KERALA,1614,THIRUVANANTHAPURAM,7901793,342.02790843566,67,179,6349.265602879,24889,0,22980,10880655,1864723,59755,362456,8083,1240.94006,44805.0823834791,162113,176578,233180,352621,23975,396945,565553,47869,37214.8767206001,9722501,51,69.77,19.71,100.07,NA
2024-2025,Feb,16,KERALA,1601,KASARGOD,2873047,342.870040311241,55,96,3635.807553876,14158,0,12153,3822507,236151,10058,730848,24930,558.12185,17300.160695676,69025,78011,108819,167301,10278,171983,247635,26311,13106.2312918,3454540,49,53.33,32.69,100.17,NA
2024-2025,Feb,16,KERALA,1612,PATHANAMTHITTA,2089432,341.697734300658,55,103,1617.65825664,6685,0,8663,2438064,681978,35338,49284,2189,501.98095,10450.44865544,43954,48883,67956,117918,3169,163674,255019,15348,8330.8094488,2179031,42,66.7,16.9,100.12,NA
2024-2025,Dec,16,KERALA,1609,IDUKKI,3417051,340.354588451544,40,87,2292.671788781,11396,0,11191,3376278,354400,28837,555500,24862,712.16982,14496.158700661,83156,106395,134385,243435,2351,213124,365337,22587,11491.31709188,2504105,29,59.45,19.96,100.06,NA
2024-2025,Dec,16,KERALA,1612,PATHANAMTHITTA,1982827,339.269283705749,40,98,1281.986357529,5370,0,8072,1685662,470816,35153,36440,2170,486.46857,7487.388320629,41823,46143,67540,117078,403,163034,253958,13442,5718.9333931,1501437,43,62,21.46,99.99,NA
2024-2025,Nov,16,KERALA,1603,WAYANAD,2367668,352.328454455746,53,77,2396.48113244401,4021,0,9965,2889157,124652,6954,1312497,48323,454.08364,13029.886977344,53522,61731,86122,148243,4166,156986,258457,13986,10179.3222049,2500839,41,47.51,17.76,100,NA
2024-2025,Nov,16,KERALA,1608,ERNAKULAM,2698566,338.879165846468,39,111,1282.979936502,11175,0,16545,2225070,443912,32787,45852,2867,750.42992,9573.708512002,56547,60593,109737,167327,569,271610,381984,27720,7540.2986555,1987657,53,42.25,36.03,100,NA
2024-2025,Nov,16,KERALA,1610,KOTTAYAM,2269199,334.95132554306,38,28,903.325818134,6375,0,13020,1849657,264010,20203,63756,4608,582.03814,7680.814597634,47881,51234,89099,134765,1146,208414,291330,19395,6195.4506395,1717900,55,38.62,42.07,99.99,NA
2024-2025,Nov,16,KERALA,1604,KOZHIKODE,5864228,342.806596917762,40,187,2757.29166745,8297,0,22575,4933363,587537,38616,82171,4068,967.91688,20637.10236135,122362,132883,198333,313685,582,356217,527870,30872,16911.8938139,4503854,38,66.27,19.65,99.99,NA
2024-2025,Nov,16,KERALA,1613,KOLLAM,5287595,342.711877432,41,264,2640.895621851,12259,0,21494,5095343,1037853,61822,85644,2418,909.73611,21012.977388751,123394,134163,207497,326557,1436,402176,585872,33753,17462.3456569,4407061,42,59.44,29.04,100,NA
2024-2025,Nov,16,KERALA,1605,MALAPPURAM,3151274,345.149958574043,48,205,1359.376460946,11659,0,21639,3521705,1218255,60885,156119,5601,900.38006,14414.919869546,72927,81531,146581,234382,2052,415697,599154,33298,12155.1633486,3019545,66,52.65,20.5,99.97,NA
2024-2025,Nov,16,KERALA,1607,THRISSUR,2818070,338.835365118269,35,207,1629.566198004,10166,0,17841,2593283,819421,50732,51146,2485,913.96759,11330.493709604,72273,76722,155786,203688,1158,350248,427455,28007,8786.9599216,2336384,50,60.99,11.56,99.97,NA
2024-2025,Nov,16,KERALA,1611,ALAPPUZHA,5850508,345.368987027356,36,354,2057.956306659,11736,0,22807,4744985,746169,44896,30516,1144,651.76428,19097.427215759,129085,139469,179226,282927,489,264435,394474,34543,16387.7066291,4379709,35,73.33,8.44,99.97,NA
2024-2025,Nov,16,KERALA,1601,KASARGOD,2579878,346.618934748586,40,90,1271.022482308,9020,0,14351,2476636,149100,9947,482365,24605,526.57512,10382.086923108,61802,68998,106955,164348,1042,170637,245500,23371,8584.4893208,2223368,51,48.43,37.56,99.99,NA
2024-2025,Nov,16,KERALA,1602,KANNUR,3314071,345.694954293918,40,122,1779.570500116,5899,0,18609,3039858,125988,8741,273165,13694,790.96512,13079.171343816,75827,81326,129641,191036,661,263923,364180,24508,10508.6357237,2837351,48,55.29,28.25,100,NA
2024-2025,Nov,16,KERALA,1608,ERNAKULAM,2698566,339.28566086639,38,110,1160.892052902,11021,0,16523,2182597,434986,32777,43853,2867,747.79432,9313.925028402,56309,60315,109684,167251,519,271575,381944,27544,7405.2386555,1949440,53,41.7,36.3,100,NA
2024-2025,Nov,16,KERALA,1611,ALAPPUZHA,5850508,345.060760761124,35,351,2057.956306659,11237,0,22823,4486520,706503,44856,28748,1142,650.30786,18189.484210359,128048,138219,179066,282655,385,264350,394306,34060,15481.2200437,4139654,35,72.85,8.6,99.99,NA
2024-2025,Nov,16,KERALA,1612,PATHANAMTHITTA,1876224,339.727875583768,35,97,752.346636327,3408,0,9370,1433575,402705,35084,30839,2166,482.30362,6104.904148727,40827,44904,67340,116725,138,162807,253594,12778,4870.2538924,1275639,43,59.72,23.04,99.98,NA
2024-2025,Nov,16,KERALA,1606,PALAKKAD,4393891,356.210857144099,29,184,2546.50826870899,9591,0,38455,3912096,1190388,84711,534370,21063,973.1338,17454.952762609,131686,144656,210538,300977,1116,408857,552433,48046,13935.3106939,3457241,64,36.22,35.81,100.01,NA
2024-2025,Feb,16,KERALA,1603,WAYANAD,2636722,335.279294557485,68,84,3713.32729907,8590,0,8116,4073429,169551,7066,1931956,48939,590.56353,17961.25484457,59338,69123,87693,151051,19622,157959,260197,16706,13657.3640155,3520762,41,57.11,13.71,100.96,NA
2024-2025,Feb,16,KERALA,1605,MALAPPURAM,3509374,344.67257198113,62,221,4773.072009586,23193,0,18458,5123183,1733509,61609,246781,5685,1211.78638,23643.065002986,81732,92993,151144,242026,21699,418320,602966,41651,17658.2066134,4394110,67,58.26,15.02,100.2,NA
2024-2025,Feb,16,KERALA,1614,THIRUVANANTHAPURAM,7901793,341.511793862622,70,181,6403.361554661,27351,0,21861,11469914,1964500,59817,383916,8086,1256.95895,46831.429560561,163139,177984,233544,353237,34454,397330,566167,49212,39171.1090559,10257792,51,69.61,19.2,100.07,NA
2024-2025,Dec,16,KERALA,1605,MALAPPURAM,3330324,345.471848194458,51,212,2978.364289631,16100,0,18513,3837989,1320829,60990,173592,5613,906.00858,17143.544401431,74590,83533,147287,235372,3655,415355,598228,34613,13259.1715318,3292108,66,54.51,19.26,99.98,NA
2024-2025,Dec,16,KERALA,1612,PATHANAMTHITTA,1982827,339.819248690416,40,98,1281.986357529,5344,0,8050,1674769,467557,35144,36220,2170,486.46857,7459.642360629,41781,46082,67521,117048,379,163018,253939,13394,5691.1874331,1491755,43,61.88,21.55,99.98,NA
2024-2025,Dec,16,KERALA,1613,KOLLAM,5588027,341.513944092556,46,269,2691.057339494,15319,0,19662,5798870,1179517,61990,96484,2438,919.97892,23414.985909294,126058,137300,208192,327719,3059,402750,586848,34981,19803.9496498,5024838,41,62.04,27.37,99.99,NA
2024-2025,Dec,16,KERALA,1604,KOZHIKODE,6197422,341.235180238506,44,189,5620.44953197201,11926,0,19998,5579052,667655,38670,93234,4077,969.78115,25627.918829772,124540,135561,198717,314299,1142,356569,528403,31924,19037.6881478,5093809,38,68.35,18.4,99.97,NA
2024-2025,Dec,16,KERALA,1608,ERNAKULAM,2851894,339.252708129475,43,113,2830.255900699,14835,0,14092,2520138,504790,32862,52578,2868,751.24032,12131.132634299,57873,62146,110095,167835,1113,271664,382058,28927,8549.6364136,2252411,52,45.75,33.59,99.98,NA
2024-2025,Dec,16,KERALA,1602,KANNUR,3502371,343.916387317592,44,125,3643.156848051,9906,0,15619,3500471,145078,8770,310164,13744,796.30847,16478.158720351,78395,84201,130784,192645,1625,264499,364934,25525,12038.6934023,3272783,48,58.12,26.51,100.2,NA
2024-2025,Dec,16,KERALA,1606,PALAKKAD,4643543,353.180103630084,32,187,3439.064117492,16334,0,33347,4404609,1338465,84962,597623,21140,979.14631,19974.413058192,135108,148617,211768,302758,1881,409142,552988,49681,15556.2026307,3895963,63,37.13,35.57,99.98,NA
2024-2025,Dec,16,KERALA,1612,PATHANAMTHITTA,1982827,340.979301245539,39,98,1281.986357529,5336,0,8039,1664018,464956,35142,36154,2170,482.30362,7438.246926529,41742,46037,67516,117038,368,163014,253930,13375,5673.956949,1481936,43,61.78,21.63,99.98,NA
2024-2025,Dec,16,KERALA,1613,KOLLAM,5588027,340.68773260264,45,268,2691.057339494,15216,0,19725,5752525,1169745,61984,96092,2438,919.97892,23209.183249394,125936,137150,208165,327662,2929,402708,586769,34941,19598.1469899,4983840,41,61.88,27.49,99.99,NA
2024-2025,Dec,16,KERALA,1604,KOZHIKODE,6197422,341.029195851071,45,189,5622.24813197201,12411,0,19656,5630176,673688,38674,94648,4078,973.66928,25796.461349772,124661,135710,198740,314350,1191,356595,528447,32067,19200.5439378,5140667,37,68.48,18.36,99.98,NA
2024-2025,Dec,16,KERALA,1602,KANNUR,3502371,343.486503157945,45,125,3643.156848051,9997,0,15655,3546294,146881,8772,314174,13746,796.30847,16620.506570351,78677,84516,130910,192826,1760,264547,365014,25652,12181.0412523,3316073,47,58.44,26.31,100.2,NA
2024-2025,Dec,16,KERALA,1606,PALAKKAD,4643543,353.071214358429,32,187,3439.064117492,16367,0,33490,4466589,1357882,84951,604798,21146,979.14631,20188.450450192,135512,149080,211907,302930,2014,409130,552907,49857,15770.2400227,3951388,63,37.1,35.61,99.98,NA
2024-2025,Dec,16,KERALA,1608,ERNAKULAM,2851894,338.560509152794,44,116,2830.255900699,15934,0,13592,2607783,522975,32873,54904,2871,751.24032,12410.419623099,58291,62621,110209,167995,1412,271606,381990,29526,8828.9234024,2331224,52,46.66,33.08,99.99,NA
2024-2025,Nov,16,KERALA,1608,ERNAKULAM,2698566,339.4353848479,42,112,2791.478000717,13708,0,14801,2461375,492274,32852,52033,2868,751.24032,11897.496024517,57599,61824,110024,167726,982,271630,382008,28509,8354.7777038,2199835,52,45.13,34.09,100,NA
2024-2025,Nov,16,KERALA,1603,WAYANAD,2367668,348.237929657706,57,78,2695.32021616801,6470,0,7846,3145277,134506,6967,1438977,48473,454.40859,14102.776312968,54687,63205,86409,148728,5865,157106,258693,14316,10953.0475068,2722117,41,50.65,16.86,100.08,NA
2024-2025,Nov,16,KERALA,1607,THRISSUR,2818070,339.933062738965,37,207,3100.28087698,14530,0,13966,2761649,872378,50801,52853,2487,913.96759,13402.00649478,73554,78140,156369,204493,1564,350458,427850,28496,9387.7580278,2488289,50,62.25,11.1,99.96,NA
2024-2025,Nov,16,KERALA,1601,KASARGOD,2579878,349.656943067251,42,92,2716.683841349,10287,0,13498,2661210,160074,9964,522680,24672,532.05932,12553.848695949,63036,70448,107336,164884,1471,170777,245746,23785,9305.1055346,2391534,50,49.56,36.92,99.99,NA
2024-2025,Nov,16,KERALA,1609,IDUKKI,3233339,342.085672826615,38,86,2292.671788781,8336,0,11570,3109171,327100,28773,505986,24839,697.43251,13626.132833461,81513,104091,134151,243044,1356,213112,365401,19906,10636.02853468,2307085,29,58.23,20.36,100.06,NA
2024-2025,Nov,16,KERALA,1612,PATHANAMTHITTA,1876224,337.497380168034,37,98,1258.060589884,4565,0,8502,1544809,433649,35109,33480,2167,482.30362,6954.054113484,41205,45386,67412,116853,238,162902,253752,13067,5213.6899036,1375193,43,60.71,22.28,99.96,NA
2024-2025,March,16,KERALA,1606,PALAKKAD,4993058,354.870433962964,46,208,5827.069525805,26896,0,32405,6956884,2138403,86247,910410,21345,1186.89663,31701.890596905,148327,164900,217115,311272,15173,412097,558216,59301,24687.9244411,6297347,63,42.26,32.87,100.9,NA
2024-2025,March,16,KERALA,1605,MALAPPURAM,3580994,349.939865386189,63,221,4996.780284478,25131,0,18313,5303542,1800855,61795,263326,5695,1220.391,24776.379019978,83427,95601,152259,244084,27418,418820,603917,43444,18559.2077355,4589667,67,57.59,14.25,100.61,NA
2024-2025,March,16,KERALA,1612,PATHANAMTHITTA,2132073,342.948580037038,62,104,1914.417359042,8058,0,8143,2764720,775868,35427,56092,2198,645.81292,12041.798261042,44543,49751,68186,118389,7132,164210,255802,16201,9481.567982,2477216,41,67.05,15.4,100.15,NA
2024-2025,March,16,KERALA,1601,KASARGOD,2931678,354.146624441711,59,101,4306.63701031501,16533,0,12355,4213543,271319,10105,846621,25067,698.09371,19926.851024215,71279,81131,109596,168601,21502,172444,248491,28888,14922.1203039,3926498,49,54.15,30.7,101.09,NA
2024-2025,March,16,KERALA,1602,KANNUR,3765990,347.224494139251,62,128,5551.71288811701,16863,0,13965,5352046,231755,8905,475407,13890,1020.30214,25155.629677717,85766,92858,134077,197725,24839,267279,368853,30828,18583.6146496,5072188,46,65.29,20.66,100.55,NA
2024-2025,March,16,KERALA,1605,MALAPPURAM,3580994,350.03695879588,64,222,5014.534696402,25991,0,18216,5405576,1831173,61865,269966,5697,1286.17503,25222.223562202,84188,96686,152702,244864,30455,419197,604499,44207,18921.5138358,4675592,67,56.95,13.86,100.6,NA
2024-2025,March,16,KERALA,1606,PALAKKAD,4993058,354.513257689754,48,210,5837.918624205,27887,0,32470,7224451,2217779,86403,943840,21365,1261.3171,32710.872314505,149279,166295,217606,312152,19157,412453,558895,60357,25611.6365903,6552981,63,42.73,32.52,100.87,NA
2024-2025,Dec,16,KERALA,1603,WAYANAD,2502196,345.590037880924,60,80,2699.29121616801,6508,0,8194,3368978,142595,6978,1556676,48581,459.22761,14801.371172568,55686,64485,86618,149106,8012,157195,258872,14702,11642.8523464,2914403,40,53.23,16.12,100.09,NA
2024-2025,Dec,16,KERALA,1604,KOZHIKODE,6197422,340.59720920491,48,190,5623.32078207201,13477,0,19391,6130554,734520,38720,101730,4082,975.21588,27479.032494872,126259,137655,199050,314858,1885,356781,528753,32868,20880.4958328,5600514,37,69.89,17.41,99.98,NA
2024-2025,Dec,16,KERALA,1608,ERNAKULAM,2851894,339.788823420885,46,118,2830.255900699,16464,0,13684,2731784,548429,32908,56843,2867,752.70165,12865.254262699,58740,63161,110346,168172,1814,271696,382074,30148,9282.296712,2443373,52,47.98,32.16,100,NA
2024-2025,Dec,16,KERALA,1609,IDUKKI,3417051,342.506092299266,41,91,2302.126288781,13975,0,11370,3483668,370364,28885,579448,24886,712.16982,14946.071244261,83718,107240,134555,243715,2763,213226,365488,25345,11931.77513548,2584490,30,59.9,19.83,100.05,NA
2024-2025,Dec,16,KERALA,1610,KOTTAYAM,2398131,336.161153929786,44,29,2120.893042501,9378,0,11108,2198262,313718,20273,75903,4622,592.7367,10103.332648101,49132,52761,89421,135309,2524,208807,291894,20486,7389.7029056,2043907,54,42.18,39.14,99.99,NA
2024-2025,Dec,16,KERALA,1612,PATHANAMTHITTA,1982827,339.772262552955,41,99,1283.509501929,5484,0,8160,1765899,494180,35177,37452,2178,486.46857,7770.013058629,42112,46505,67586,117170,511,163078,254037,13644,6000.0349867,1572723,43,62.79,20.91,99.99,NA
2024-2025,Dec,16,KERALA,1605,MALAPPURAM,3330324,344.387917120629,54,213,3020.496033965,17672,0,18813,4100924,1408600,61092,188172,5630,906.00858,18049.591360265,75890,85115,147812,236243,5649,415743,598789,36485,14123.0867463,3519946,66,55.8,18.23,100.07,NA
2024-2025,Dec,16,KERALA,1610,KOTTAYAM,2398131,336.281649862821,45,29,2120.801034501,9616,0,11040,2248890,321462,20288,77742,4622,592.7367,10276.142130101,49284,52948,89457,135375,2716,208848,291961,20656,7562.6043956,2091236,54,42.78,38.76,100.01,NA
2024-2025,Dec,16,KERALA,1611,ALAPPUZHA,6182922,343.801083708769,44,357,3971.235584548,17440,0,19176,5862516,909451,45023,37148,1149,656.88601,24783.515135148,132268,143497,179735,283777,1227,264672,394928,36616,20155.3935406,5416104,34,75.14,8.12,100.01,NA
2024-2025,Dec,16,KERALA,1608,ERNAKULAM,2851894,340.433091693216,46,118,2830.255900699,16557,0,13713,2758372,553985,32911,57554,2867,752.70165,12973.368630699,58813,63236,110371,168204,1924,271708,382094,30270,9390.41108,2467676,52,48.31,31.95,100,NA
2024-2025,Dec,16,KERALA,1614,THIRUVANANTHAPURAM,7498642,341.974887023823,53,173,5042.515539024,20887,0,22405,8492764,1467188,59490,284216,8066,1026.43492,35112.0705532239,157727,171090,231931,350441,5520,395161,562806,43292,29043.1200941999,7559474,52,67.28,22.37,100,NA
