fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Sep,16,KERALA,1603,WAYANAD,1775747,355.288977616445,38,73,581.700988103999,3020,0,9099,1861992,81372,6898,843344,47828,440.61877,7637.772098204,48720,55492,85209,146578,310,156535,257574,12119,6615.4523401,1613524,42,34.31,18.55,100.01,NA
2024-2025,Sep,16,KERALA,1605,MALAPPURAM,2363455,344.580622600758,32,193,847.05406679,8804,0,20796,2096496,728566,60540,91719,5528,834.46122,8905.63425639,64398,71209,143603,230086,143,416818,602052,29600,7224.1189696,1790794,67,40.22,26.99,100.01,NA
2024-2025,Sep,16,KERALA,1609,IDUKKI,2425005,343.391164130034,26,73,618.088779813,4369,0,13007,1885176,171614,28516,313368,24639,664.10298,7755.719572113,71275,89510,132914,240946,162,212934,365098,17376,6473.5278123,1413059,30,51.73,21.69,100.01,NA
2024-2025,Sep,16,KERALA,1613,KOLLAM,3965697,343.601000379139,27,256,829.460617338,6476,0,23435,3125505,638977,61311,59281,2404,891.04216,12459.769224238,113841,123022,205506,323209,151,400425,583051,29911,10739.2664469,2695575,43,50.97,34.3,100,NA
2024-2025,Sep,16,KERALA,1614,THIRUVANANTHAPURAM,5321616,336.089822411951,26,155,2480.895626859,9217,0,26371,3852061,677311,58925,143319,7987,962.53421,16389.814810959,144164,154849,229335,345891,85,391988,557370,35588,12946.3849741,3409781,54,53.13,33.99,100,NA
2024-2025,Aug,16,KERALA,1601,KASARGOD,1612426,347.634192523015,23,74,948.343048991,7268,0,13524,1203025,73686,9785,232328,24109,488.91307,5619.382363591,50483,55581,105006,161194,16,169409,243430,20792,4182.1262446,1075957,52,41.36,38.47,99.98,NA
2024-2025,Aug,16,KERALA,1608,ERNAKULAM,1686605,338.95449926084,20,83,922.173991133999,8368,0,14909,952432,188572,32546,19892,2873,711.38992,4861.875027534,47521,50365,108197,165463,8,271595,383032,23277,3228.3111164,844912,54,28.76,38.11,99.99,NA
2024-2025,Aug,16,KERALA,1609,IDUKKI,2020837,345.512611881223,23,65,305.152202877,3639,0,13151,1542417,134887,28432,252660,24599,632.54229,6266.939755677,66507,82821,132486,240449,64,213137,365789,16790,5329.2452628,1163537,30,48.92,23.28,99.99,NA
2024-2025,Aug,16,KERALA,1614,THIRUVANANTHAPURAM,4434681,338.067017730416,22,137,2024.02573816,8544,0,25720,3090170,539653,58805,122250,7977,962.53421,13433.40550996,136947,146747,228795,345067,37,391591,556762,34264,10446.8455618,2730588,54,47.86,37.92,99.98,NA
2024-2025,Aug,16,KERALA,1608,ERNAKULAM,1686605,340.505590315324,19,83,922.173991133999,8284,0,14911,933103,184351,32546,19090,2873,711.38992,4810.831789534,47352,50172,108192,165454,8,271671,383116,23195,3177.2678784,827833,55,28.69,37.69,99.99,NA
2024-2025,Aug,16,KERALA,1609,IDUKKI,2020837,346.959607691719,22,65,305.152202877,3634,0,13065,1515084,132597,28419,248762,24598,632.54229,6194.423995477,66132,82289,132481,240428,57,213170,365817,16699,5256.7295026,1142705,30,48.74,23.15,99.99,NA
2024-2025,Aug,16,KERALA,1611,ALAPPUZHA,3656562,351.068477222975,18,298,1228.468512413,8485,0,20871,1946457,316623,44553,14323,1127,269.21526,8331.080722113,106302,113469,177716,280769,14,264201,394126,29356,6833.3969497,1790256,36,64.26,8.64,99.99,NA
2024-2025,Aug,16,KERALA,1612,PATHANAMTHITTA,1172639,341.345918071295,18,80,408.461839665,2313,0,8692,630060,173287,34857,15354,2139,190.1575,2749.303431065,34259,37244,66685,115596,6,162284,252702,11005,2150.6840914,560277,47,46.32,31.79,99.98,NA
